company,driver,shock,dd,converged,base_dd,dd_change_from_base
HPCL,Equity Volatility,0.5,2.6068987884702985,True,4.039722277451631,-1.4328234889813323
HPCL,Debt,-0.5,4.837133293903082,True,4.039722277451631,0.7974110164514512
HPCL,Debt,-0.25,4.334644283766805,True,4.039722277451631,0.29492200631517385
HPCL,Debt,-0.1,4.141969436675389,True,4.039722277451631,0.10224715922375793
HPCL,Debt,0.0,4.039722277451631,True,4.039722277451631,0.0
HPCL,Debt,0.1,3.9528021865955676,True,4.039722277451631,-0.08692009085606323
HPCL,Debt,0.25,3.8442810108019323,True,4.039722277451631,-0.19544126664969852
HPCL,Debt,0.5,3.7047725532921922,True,4.039722277451631,-0.3349497241594386
HPCL,Equity Value,-0.5,3.518344622350835,True,4.039722277451631,-0.521377655100796
HPCL,Equity Value,-0.25,3.7928928198875904,True,4.039722277451631,-0.2468294575640404
HPCL,Equity Value,-0.1,3.9439393304427424,True,4.039722277451631,-0.09578294700888845
HPCL,Equity Value,0.0,4.039722277451631,True,4.039722277451631,0.0
HPCL,Equity Value,0.1,4.131932470140014,True,4.039722277451631,0.09221019268838315
HPCL,Equity Value,0.25,4.264126158676686,True,4.039722277451631,0.22440388122505528
HPCL,Equity Value,0.5,4.469980517905879,True,4.039722277451631,0.4302582404542479
HPCL,Risk-Free Rate,-0.02,4.02104872534105,True,4.039722277451631,-0.01867355211058097
HPCL,Risk-Free Rate,-0.01,4.030356452746426,True,4.039722277451631,-0.009365824705204417
HPCL,Risk-Free Rate,0.0,4.039722277451631,True,4.039722277451631,0.0
HPCL,Risk-Free Rate,0.01,4.049146352655979,True,4.039722277451631,0.009424075204348625
HPCL,Risk-Free Rate,0.02,4.058628829512172,True,4.039722277451631,0.018906552060541593
HPCL,Time Horizon,1.0,4.039722277451631,True,4.039722277451631,0.0
HPCL,Time Horizon,2.0,2.8292744077616723,True,4.039722277451631,-1.2104478696899585
HPCL,Time Horizon,3.0,2.2775566819183926,True,4.039722277451631,-1.7621655955332383
GAIL,Equity Volatility,-0.5,17.472483761902605,True,8.654862386408848,8.817621375493758
GAIL,Equity Volatility,-0.25,11.603111677633706,True,8.654862386408848,2.948249291224858
GAIL,Equity Volatility,-0.1,9.639420583362524,True,8.654862386408848,0.9845581969536763
GAIL,Equity Volatility,0.0,8.654862386408848,True,8.654862386408848,0.0
GAIL,Equity Volatility,0.1,7.847341934488143,True,8.654862386408848,-0.8075204519207047
GAIL,Equity Volatility,0.25,6.875062212398233,True,8.654862386408848,-1.7798001740106146
GAIL,Equity Volatility,0.5,5.679486590787231,True,8.654862386408848,-2.9753757956216162
GAIL,Debt,-0.5,10.616668357549203,True,8.654862386408848,1.9618059711403557
GAIL,Debt,-0.25,9.430966072900931,True,8.654862386408848,0.7761036864920836
GAIL,Debt,-0.1,8.932347141657017,True,8.654862386408848,0.2774847552481692
GAIL,Debt,0.0,8.654862386408848,True,8.654862386408848,0.0
GAIL,Debt,0.1,8.410862549964309,True,8.654862386408848,-0.24399983644453904
GAIL,Debt,0.25,8.094410614678802,True,8.654862386408848,-0.5604517717300457
GAIL,Debt,0.5,7.665268139051238,True,8.654862386408848,-0.9895942473576094
GAIL,Equity Value,-0.5,7.043432076810478,True,8.654862386408848,-1.6114303095983695
GAIL,Equity Value,-0.25,7.939472631790099,True,8.654862386408848,-0.7153897546187489
GAIL,Equity Value,-0.1,8.385529897983417,True,8.654862386408848,-0.2693324884254302
GAIL,Equity Value,0.0,8.654862386408848,True,8.654862386408848,0.0
GAIL,Equity Value,0.1,8.905533578709514,True,8.654862386408848,0.2506711923006666
GAIL,Equity Value,0.25,9.251860440132367,True,8.654862386408848,0.5969980537235191
GAIL,Equity Value,0.5,9.764916923330448,True,8.654862386408848,1.1100545369216004
GAIL,Risk-Free Rate,-0.02,8.603101483462542,True,8.654862386408848,-0.051760902946305976
GAIL,Risk-Free Rate,-0.01,8.628945095608996,True,8.654862386408848,-0.0259172907998515
GAIL,Risk-Free Rate,0.0,8.654862386408848,True,8.654862386408848,0.0
GAIL,Risk-Free Rate,0.01,8.680853127421816,True,8.654862386408848,0.0259907410129685
GAIL,Risk-Free Rate,0.02,8.70691708890829,True,8.654862386408848,0.052054702499441774
GAIL,Time Horizon,1.0,8.654862386408848,True,8.654862386408848,0.0
GAIL,Time Horizon,2.0,6.167670127731695,True,8.654862386408848,-2.487192258677153
GAIL,Time Horizon,3.0,5.075595693057167,True,8.654862386408848,-3.5792666933516806
OIL,Equity Volatility,-0.5,11.484589541642187,True,5.657964641351754,5.826624900290433
